coarse_id,coarse_name,tag,count,nll_mean,rmse_mean,mae_mean,cov90_mean
0,Other,all,737,-16.96609158820019,1.7784244932680013,0.8537947732040323,0.0
0,Other,ood,303,-16.629972224975184,2.62755212146235,1.0657530763361713,0.0
0,Other,seen,434,-17.20075556759461,0.7421754750478797,0.7058146675610872,0.0
1,Protest,all,3,-16.927714665730793,0.636023893119445,0.6263870199521383,0.0
1,Protest,ood,1,-16.926626205444336,0.6190517855183504,0.6092138290405273,0.0
1,Protest,seen,2,-16.928258895874023,0.6443423254385,0.6349736154079437,0.0
2,Violence,all,3,-17.59153111775716,0.9175777820182149,0.9084949692090353,0.0
2,Violence,ood,2,-17.532769203186035,0.9447310685166049,0.9355500340461731,0.0
2,Violence,seen,1,-17.709054946899414,0.8607051612017603,0.8543848395347595,0.0
3,Diplomacy,all,3,-16.923316319783527,0.5691255297346616,0.5581162770589193,0.0
3,Diplomacy,ood,2,-16.923688888549805,0.5747455204834336,0.5639280378818512,0.0
3,Diplomacy,seen,1,-16.922571182250977,0.5577156794960414,0.5464927554130554,0.0
4,Economic,all,3,-16.92232894897461,0.5540701157013678,0.5427562594413757,0.0
4,Economic,ood,2,-16.92232894897461,0.5540701157013678,0.5427562594413757,0.0
4,Economic,seen,1,-16.92232894897461,0.5540701157013678,0.5427562594413757,0.0
